periodo,periodo_dt,indicador,promedio,mediana,minimo,maximo,bancos_con_dato
2009-01,2009-01-01,activos_totales,643.2348,288.57,8.31,4353.79,25
2009-02,2009-02-01,activos_totales,651.2508333333334,270.625,8.33,4326.13,24
2009-03,2009-03-01,activos_totales,634.8924,288.54,8.85,4288.87,25
2009-04,2009-04-01,activos_totales,641.7916,267.06,8.48,4427.24,25
2009-05,2009-05-01,activos_totales,644.4083999999999,280.77,8.47,4450.86,25
2009-06,2009-06-01,activos_totales,639.936,295.78,8.54,4339.2,25
2009-07,2009-07-01,activos_totales,646.4252,287.86,8.52,4434.2,25
2009-08,2009-08-01,activos_totales,660.5856,291.22,8.55,4453.47,25
2009-09,2009-09-01,activos_totales,654.7592,291.42,8.64,4469.44,25
2009-10,2009-10-01,activos_totales,659.2719999999999,280.64,8.06,4520.85,25
2009-11,2009-11-01,activos_totales,669.7275999999999,284.55,8.37,4622.78,25
2009-12,2009-12-01,activos_totales,701.0244,292.93,8.34,4767.12,25
2010-01,2010-01-01,activos_totales,711.388,292.02,8.59,4890.9,25
2010-02,2010-02-01,activos_totales,719.2972,314.37,8.37,4909.13,25
2010-03,2010-03-01,activos_totales,730.7244000000001,314.04,8.91,4986.7,25
2010-04,2010-04-01,activos_totales,742.5236,301.28,8.88,5133.99,25
2010-05,2010-05-01,activos_totales,747.2236,296.62,8.58,5182.26,25
2010-06,2010-06-01,activos_totales,748.722,296.4,8.96,5132.09,25
2010-07,2010-07-01,activos_totales,761.5011999999999,290.04,9.0,5211.75,25
2010-08,2010-08-01,activos_totales,762.462,292.46,9.15,5175.32,25
2010-09,2010-09-01,activos_totales,765.3272000000001,297.8,8.79,5180.4,25
2010-10,2010-10-01,activos_totales,775.0060000000001,303.56,8.98,5443.96,25
2010-11,2010-11-01,activos_totales,792.918,309.01,9.36,5553.79,25
2010-12,2010-12-01,activos_totales,823.8124,325.17,9.33,5767.74,25
2011-01,2011-01-01,activos_totales,814.6124000000001,321.52,9.28,5694.52,25
2011-02,2011-02-01,activos_totales,830.5631999999999,324.8,9.18,5918.57,25
2011-03,2011-03-01,activos_totales,853.1744,333.43,9.31,6008.3,25
2011-04,2011-04-01,activos_totales,868.1928,333.65,9.29,6190.42,25
2011-05,2011-05-01,activos_totales,869.4716000000001,338.43,9.24,6200.4,25
2011-06,2011-06-01,activos_totales,876.4996000000001,342.99,9.56,6245.49,25
2011-07,2011-07-01,activos_totales,888.7572,345.41,9.71,6371.63,25
2011-08,2011-08-01,activos_totales,899.2280000000001,349.64,9.68,6416.93,25
2011-09,2011-09-01,activos_totales,882.245,343.16999999999996,10.18,6579.47,26
2011-10,2011-10-01,activos_totales,886.8780769230768,355.34000000000003,10.41,6550.92,26
2011-11,2011-11-01,activos_totales,880.5153846153846,360.56,9.86,6468.43,26
2011-12,2011-12-01,activos_totales,917.9169230769231,364.65,10.22,6757.47,26
2012-01,2012-01-01,activos_totales,932.4157692307692,366.585,10.03,6952.76,26
2012-02,2012-02-01,activos_totales,948.5307692307692,367.405,10.48,7002.78,26
2012-03,2012-03-01,activos_totales,977.3869230769232,376.005,10.58,7245.31,26
2012-04,2012-04-01,activos_totales,987.8773076923078,373.595,10.61,7464.36,26
2012-05,2012-05-01,activos_totales,987.8242307692308,380.35,10.68,7500.98,26
2012-06,2012-06-01,activos_totales,992.738076923077,387.145,10.24,7463.97,26
2012-07,2012-07-01,activos_totales,986.5269230769231,389.24,10.21,7600.31,26
2012-08,2012-08-01,activos_totales,998.9230769230769,391.93,10.27,7673.88,26
2012-09,2012-09-01,activos_totales,995.631923076923,393.46000000000004,10.94,7525.58,26
2012-10,2012-10-01,activos_totales,1015.6803846153846,398.08,10.78,7689.46,26
2012-11,2012-11-01,activos_totales,1031.106153846154,400.065,10.68,7719.21,26
2012-12,2012-12-01,activos_totales,1072.13,412.235,10.92,8092.71,26
2013-01,2013-01-01,activos_totales,1049.6976923076923,404.105,11.76,7859.79,26
2013-02,2013-02-01,activos_totales,1059.6676923076923,396.15999999999997,11.57,7927.77,26
2013-03,2013-03-01,activos_totales,1107.9216000000001,399.5,11.58,8092.89,25
2013-04,2013-04-01,activos_totales,1161.5379166666667,491.96500000000003,11.77,8272.7,24
2013-05,2013-05-01,activos_totales,1163.1133333333335,483.615,11.54,8335.0,24
2013-06,2013-06-01,activos_totales,1168.875,499.845,11.61,8415.79,24
2013-07,2013-07-01,activos_totales,1178.0404166666667,511.14,12.64,8396.95,24
2013-08,2013-08-01,activos_totales,1187.1241666666667,517.09,12.24,8453.61,24
2013-09,2013-09-01,activos_totales,1190.63625,507.515,12.57,8379.47,24
2013-10,2013-10-01,activos_totales,1202.0266666666666,531.64,12.41,8416.34,24
2013-11,2013-11-01,activos_totales,1232.7379166666667,524.58,12.38,8608.88,24
2013-12,2013-12-01,activos_totales,1280.7666666666667,513.4350000000001,12.18,9023.58,24
2014-01,2014-01-01,activos_totales,1259.4125000000001,518.8149999999999,12.41,8772.61,24
2014-02,2014-02-01,activos_totales,1264.0925,520.57,13.83,8925.27,24
2014-03,2014-03-01,activos_totales,1230.6940000000002,474.11,16.18,9026.18,25
2014-04,2014-04-01,activos_totales,1228.318,469.11,14.02,9013.19,25
2014-05,2014-05-01,activos_totales,1231.9068,460.75,13.64,9063.67,25
2014-06,2014-06-01,activos_totales,1253.1616000000001,464.06,14.01,9142.6,25
2014-07,2014-07-01,activos_totales,1258.5388,462.72,14.24,9178.22,25
2014-08,2014-08-01,activos_totales,1325.5516666666665,511.45000000000005,22.95,9294.83,24
2014-09,2014-09-01,activos_totales,1334.0449999999998,514.31,22.78,9265.46,24
2014-10,2014-10-01,activos_totales,1340.855,459.73,23.61,9285.24,24
2014-11,2014-11-01,activos_totales,1353.5775,436.14,24.36,9434.83,24
2014-12,2014-12-01,activos_totales,1461.7008695652175,462.63,24.72,9883.04,23
2015-01,2015-01-01,activos_totales,1426.8256521739129,450.23,22.78,9656.76,23
2015-02,2015-02-01,activos_totales,1429.8747826086958,450.81,24.25,9510.42,23
2015-03,2015-03-01,activos_totales,1439.787391304348,450.19,19.92,9621.22,23
2015-04,2015-04-01,activos_totales,1410.3947826086958,438.84,12.46,9398.87,23
2015-05,2015-05-01,activos_totales,1404.6726086956521,433.23,12.38,9405.38,23
2015-06,2015-06-01,activos_totales,1397.1139130434783,431.62,12.43,9317.68,23
2015-07,2015-07-01,activos_totales,1381.901304347826,418.84,0.0,9215.1,23
2015-08,2015-08-01,activos_totales,1434.0240909090908,453.29,21.92,9149.18,22
2015-09,2015-09-01,activos_totales,1408.368181818182,439.2,21.57,8992.67,22
2015-10,2015-10-01,activos_totales,1406.6286363636364,441.45500000000004,21.29,8935.43,22
2015-11,2015-11-01,activos_totales,1401.205909090909,465.805,19.61,8836.0,22
2015-12,2015-12-01,activos_totales,1402.913181818182,444.3,21.49,8928.28,22
2016-01,2016-01-01,activos_totales,1418.9745454545455,437.555,18.94,8916.5,22
2016-02,2016-02-01,activos_totales,1441.6222727272727,452.125,18.21,9072.87,22
2016-03,2016-03-01,activos_totales,1466.9281818181817,482.555,18.44,9013.76,22
2016-04,2016-04-01,activos_totales,1451.933181818182,463.74,18.64,8963.62,22
2016-05,2016-05-01,activos_totales,1441.3636363636363,453.98,18.65,9087.06,22
2016-06,2016-06-01,activos_totales,1472.1277272727273,471.735,19.47,9258.26,22
2016-07,2016-07-01,activos_totales,1476.9195454545454,472.345,26.94,9235.66,22
2016-08,2016-08-01,activos_totales,1500.3195454545455,472.74,27.59,9411.13,22
2016-09,2016-09-01,activos_totales,1524.6227272727272,474.985,27.2,9518.22,22
2016-10,2016-10-01,activos_totales,1480.1082608695651,417.88,29.59,9551.32,23
2016-11,2016-11-01,activos_totales,1487.8134782608695,400.87,28.79,9692.38,23
2016-12,2016-12-01,activos_totales,1547.787391304348,421.66,29.45,10116.06,23
2017-01,2017-01-01,activos_totales,1520.83,413.82,27.62,9927.34,23
2017-02,2017-02-01,activos_totales,1540.7343478260868,423.67,29.8,10129.77,23
2017-03,2017-03-01,activos_totales,1570.0217391304348,419.57,28.54,10355.65,23
2017-04,2017-04-01,activos_totales,1552.8256521739129,422.01,29.27,10291.64,23
2017-05,2017-05-01,activos_totales,1527.1947826086957,417.33,29.59,10114.26,23
2017-06,2017-06-01,activos_totales,1550.3295833333334,487.83500000000004,29.69,10296.44,24
2017-07,2017-07-01,activos_totales,1544.0145833333333,493.92999999999995,30.23,10246.9,24
2017-08,2017-08-01,activos_totales,1541.4820833333333,504.765,29.16,10201.03,24
2017-09,2017-09-01,activos_totales,1533.082916666667,498.53,29.12,10070.78,24
2017-10,2017-10-01,activos_totales,1550.962083333333,507.78999999999996,32.87,10145.98,24
2017-11,2017-11-01,activos_totales,1580.6783333333333,538.325,31.37,10346.12,24
2017-12,2017-12-01,activos_totales,1623.95625,544.87,31.54,10615.39,24
2018-01,2018-01-01,activos_totales,1605.1833333333334,545.505,33.86,10547.86,24
2018-02,2018-02-01,activos_totales,1617.505,529.235,28.61,10702.45,24
2018-03,2018-03-01,activos_totales,1639.3412499999997,547.44,22.34,10827.71,24
2018-04,2018-04-01,activos_totales,1629.9579166666665,532.475,19.78,10656.65,24
2018-05,2018-05-01,activos_totales,1615.91125,519.21,18.25,10428.15,24
2018-06,2018-06-01,activos_totales,1626.7129166666666,544.46,17.01,10400.64,24
2018-07,2018-07-01,activos_totales,1631.43625,553.4649999999999,16.4,10424.93,24
2018-08,2018-08-01,activos_totales,1638.0354166666666,546.75,15.51,10443.48,24
2018-09,2018-09-01,activos_totales,1639.8345833333333,553.855,15.18,10306.82,24
2018-10,2018-10-01,activos_totales,1641.7758333333334,575.4549999999999,14.66,10289.88,24
2018-11,2018-11-01,activos_totales,1661.6041666666667,590.05,14.67,10386.24,24
2018-12,2018-12-01,activos_totales,1707.6658333333335,619.515,15.04,10664.47,24
2019-01,2019-01-01,activos_totales,1681.3075,606.39,14.24,10466.78,24
2019-02,2019-02-01,activos_totales,1710.13875,612.9549999999999,13.97,10592.64,24
2019-04,2019-04-01,activos_totales,1723.6691666666666,587.025,15.54,10857.63,24
2019-05,2019-05-01,activos_totales,1721.3129166666668,556.035,14.92,10742.98,24
2019-06,2019-06-01,activos_totales,1736.3179166666666,564.1500000000001,14.7,10802.8,24
2019-07,2019-07-01,activos_totales,1748.5020833333335,550.805,15.43,10886.5,24
2019-08,2019-08-01,activos_totales,1770.2079166666665,553.98,15.11,10704.68,24
2019-09,2019-09-01,activos_totales,1776.5008333333333,574.7,16.08,10611.59,24
2019-10,2019-10-01,activos_totales,1775.7870833333334,573.55,17.29,10607.69,24
2019-11,2019-11-01,activos_totales,1786.9937499999999,581.715,18.73,10734.33,24
2019-12,2019-12-01,activos_totales,1857.6108333333334,579.075,20.16,11437.42,24
2020-01,2020-01-01,activos_totales,1858.8133333333333,579.8299999999999,21.7,11325.08,24
2020-02,2020-02-01,activos_totales,1888.2175,613.8199999999999,22.47,11555.22,24
2020-03,2020-03-01,activos_totales,1833.9858333333334,576.6949999999999,24.32,11160.64,24
2020-04,2020-04-01,activos_totales,1821.6104166666667,575.7049999999999,23.35,11147.83,24
2020-05,2020-05-01,activos_totales,1828.4320833333331,572.565,24.28,11411.71,24
2020-06,2020-06-01,activos_totales,1843.8325000000002,562.135,23.6,11569.6,24
2020-07,2020-07-01,activos_totales,1853.1575,553.63,23.16,11577.33,24
2020-08,2020-08-01,activos_totales,1875.7562500000001,548.515,24.08,11701.44,24
2020-09,2020-09-01,activos_totales,1890.42875,581.6,24.72,11706.79,24
2020-10,2020-10-01,activos_totales,1944.3929166666667,574.665,26.35,12365.19,24
2020-11,2020-11-01,activos_totales,1946.3858333333335,572.115,27.6,12071.05,24
2020-12,2020-12-01,activos_totales,2019.1120833333334,589.5,25.89,12614.72,24
2021-01,2021-01-01,activos_totales,1994.67875,576.145,25.47,12352.82,24
2021-02,2021-02-01,activos_totales,1994.1383333333333,588.5699999999999,26.63,12249.91,24
2021-03,2021-03-01,activos_totales,2021.1045833333335,609.655,27.66,12436.33,24
2021-04,2021-04-01,activos_totales,2010.59,599.255,27.64,12517.01,24
2021-05,2021-05-01,activos_totales,2018.9641666666666,606.745,29.73,12488.76,24
2021-06,2021-06-01,activos_totales,2022.9470833333335,586.5999999999999,28.89,12431.83,24
2021-07,2021-07-01,activos_totales,2037.95375,609.13,30.12,12626.01,24
2021-08,2021-08-01,activos_totales,2048.9175,619.0,31.52,12645.68,24
2021-09,2021-09-01,activos_totales,2081.1316666666667,655.34,32.04,12880.71,24
2021-10,2021-10-01,activos_totales,2103.65875,654.79,32.4,12556.48,24
2021-11,2021-11-01,activos_totales,2115.048333333333,637.7049999999999,31.85,12863.14,24
2021-12,2021-12-01,activos_totales,2183.2766666666666,644.6400000000001,31.86,13400.42,24
2022-02,2022-02-01,activos_totales,2188.73,646.8050000000001,32.88,13683.21,24
2022-03,2022-03-01,activos_totales,2223.369166666667,673.7049999999999,32.11,13838.0,24
2022-04,2022-04-01,activos_totales,2197.1370833333335,647.38,32.3,13761.23,24
2022-05,2022-05-01,activos_totales,2198.2316666666666,660.115,31.73,13823.08,24
2022-06,2022-06-01,activos_totales,2194.9804166666668,687.0250000000001,31.18,13622.95,24
2022-07,2022-07-01,activos_totales,2218.9945833333336,683.075,31.61,14238.45,24
2022-08,2022-08-01,activos_totales,2261.88,715.36,31.45,14645.6,24
2022-09,2022-09-01,activos_totales,2274.6470833333333,701.815,30.44,14609.77,24
2022-10,2022-10-01,activos_totales,2296.0379166666667,698.085,30.44,14790.2,24
2022-11,2022-11-01,activos_totales,2308.414166666667,715.175,31.51,14908.59,24
2022-12,2022-12-01,activos_totales,2370.2312500000003,727.54,31.4,15465.48,24
2023-01,2023-01-01,activos_totales,2379.715833333333,769.7249999999999,29.07,15733.58,24
2023-02,2023-02-01,activos_totales,2388.90625,760.495,30.36,15839.22,24
2023-03,2023-03-01,activos_totales,2422.07625,767.485,30.18,16047.35,24
2023-04,2023-04-01,activos_totales,2410.1225,753.675,30.46,15971.32,24
2023-05,2023-05-01,activos_totales,2495.8,790.3,29.37,15802.44,23
2023-06,2023-06-01,activos_totales,2498.580434782609,766.51,29.11,15856.41,23
2023-07,2023-07-01,activos_totales,2506.48,767.31,30.1,16000.31,23
2023-08,2023-08-01,activos_totales,2543.7130434782607,821.59,30.75,16226.6,23
2023-09,2023-09-01,activos_totales,2549.992608695652,790.7,30.82,16289.96,23
2023-10,2023-10-01,activos_totales,2559.535652173913,850.02,30.84,16425.29,23
2023-11,2023-11-01,activos_totales,2588.596956521739,811.44,31.86,16712.19,23
2023-12,2023-12-01,activos_totales,2638.222608695652,818.57,33.16,17048.06,23
2024-01,2024-01-01,activos_totales,2603.3552173913044,791.01,32.23,16791.28,23
2024-02,2024-02-01,activos_totales,2624.211304347826,802.66,32.74,17059.68,23
2024-03,2024-03-01,activos_totales,2653.165652173913,812.09,34.23,17112.02,23
2024-04,2024-04-01,activos_totales,2664.52,827.03,31.66,17426.72,23
2024-05,2024-05-01,activos_totales,2696.655652173913,828.06,33.05,17657.05,23
2024-06,2024-06-01,activos_totales,2745.3134782608695,825.52,30.81,17987.98,23
2024-07,2024-07-01,activos_totales,2771.2478260869566,835.8,32.15,18125.09,23
2024-08,2024-08-01,activos_totales,2821.9560869565216,867.74,32.64,18302.38,23
2024-09,2024-09-01,activos_totales,2851.5004347826084,856.8,32.35,18450.96,23
2024-10,2024-10-01,activos_totales,2891.865217391304,861.95,35.41,18760.88,23
2024-11,2024-11-01,activos_totales,2923.222608695652,871.7,33.92,19083.76,23
2024-12,2024-12-01,activos_totales,2993.47652173913,857.3,40.52,19493.1,23
2025-01,2025-01-01,activos_totales,3009.184347826087,849.46,40.19,19687.13,23
2025-02,2025-02-01,activos_totales,3051.0391304347822,830.11,40.25,20164.53,23
2025-03,2025-03-01,activos_totales,3073.003043478261,814.11,40.33,20366.01,23
2025-04,2025-04-01,activos_totales,3077.111304347826,810.75,39.96,20640.09,23
2025-05,2025-05-01,activos_totales,3108.796086956522,794.71,41.71,20685.73,23
2025-06,2025-06-01,activos_totales,3157.378695652174,783.73,43.17,21024.62,23
2025-07,2025-07-01,activos_totales,3153.422173913043,786.77,40.74,20923.04,23
2025-08,2025-08-01,activos_totales,3186.1847826086955,782.1,41.83,21022.05,23
2025-09,2025-09-01,activos_totales,3206.884347826087,775.99,41.77,21076.39,23
2025-10,2025-10-01,activos_totales,3240.012608695652,770.25,38.96,21198.77,23
2025-11,2025-11-01,activos_totales,3290.6869565217394,763.13,38.96,21495.77,23
2025-12,2025-12-01,activos_totales,3332.7647826086954,804.85,38.81,21542.77,23
2026-01,2026-01-01,activos_totales,3348.6739130434785,783.2,37.91,21554.82,23
2026-02,2026-02-01,activos_totales,3405.3130434782606,875.36,37.97,22074.38,23
2026-03,2026-03-01,activos_totales,3450.8517391304345,885.9,37.9,22343.92,23
2009-01,2009-01-01,morosidad,5.5636,3.63,0.69,23.99,25
2009-02,2009-02-01,morosidad,6.478333333333333,4.355,0.67,23.71,24
2009-03,2009-03-01,morosidad,5.74,3.62,0.71,24.71,25
2009-04,2009-04-01,morosidad,6.0848,4.15,0.73,24.5,25
2009-05,2009-05-01,morosidad,5.5328,3.93,0.69,13.1,25
2009-06,2009-06-01,morosidad,5.135599999999999,3.8,0.7,13.9,25
2009-07,2009-07-01,morosidad,9.0352,4.19,0.7,98.02,25
2009-08,2009-08-01,morosidad,5.626799999999999,4.26,0.0,12.79,25
2009-09,2009-09-01,morosidad,6.5368,4.38,1.2,23.62,25
2009-10,2009-10-01,morosidad,7.969600000000001,4.57,1.14,53.21,25
2009-11,2009-11-01,morosidad,6.446000000000001,4.69,1.12,23.08,25
2009-12,2009-12-01,morosidad,8.6212,3.41,1.17,90.33,25
2010-01,2010-01-01,morosidad,6.19,3.62,1.02,27.31,25
2010-02,2010-02-01,morosidad,6.453199999999999,4.59,1.13,27.4,25
2010-03,2010-03-01,morosidad,5.816,3.71,1.01,26.54,25
2010-04,2010-04-01,morosidad,9.0948,3.75,1.26,80.07,25
2010-05,2010-05-01,morosidad,9.585600000000001,4.18,1.16,85.8,25
2010-06,2010-06-01,morosidad,10.738,4.05,1.0,84.95,25
2010-07,2010-07-01,morosidad,9.087200000000001,4.23,1.03,86.56,25
2010-08,2010-08-01,morosidad,9.754399999999999,4.31,1.0,97.08,25
2010-09,2010-09-01,morosidad,5.3088,3.33,1.01,25.16,25
2010-10,2010-10-01,morosidad,12.1504,4.28,1.05,100.0,25
2010-11,2010-11-01,morosidad,8.6028,3.61,1.02,100.0,25
2010-12,2010-12-01,morosidad,14.655600000000002,3.35,1.07,100.0,25
2011-01,2011-01-01,morosidad,11.2224,3.59,1.13,100.0,25
2011-02,2011-02-01,morosidad,12.073599999999999,3.58,1.23,100.0,25
2011-03,2011-03-01,morosidad,11.9056,3.0,1.18,100.0,25
2011-04,2011-04-01,morosidad,11.4824,2.96,1.18,100.0,25
2011-05,2011-05-01,morosidad,11.4044,2.87,1.27,100.0,25
2011-06,2011-06-01,morosidad,10.5956,3.4,1.32,100.0,25
2011-07,2011-07-01,morosidad,7.6648000000000005,2.77,1.01,100.0,25
2011-08,2011-08-01,morosidad,8.5352,3.24,1.37,84.39,25
2011-09,2011-09-01,morosidad,8.659615384615385,3.6799999999999997,1.35,77.39,26
2011-10,2011-10-01,morosidad,8.733461538461539,3.8649999999999998,1.5,80.59,26
2011-11,2011-11-01,morosidad,9.128076923076922,4.145,0.78,79.39,26
2011-12,2011-12-01,morosidad,7.036153846153846,2.425,0.76,63.77,26
2012-01,2012-01-01,morosidad,8.63,3.49,1.39,75.23,26
2012-02,2012-02-01,morosidad,6.19923076923077,3.34,1.0,55.47,26
2012-03,2012-03-01,morosidad,9.543076923076923,3.2,1.27,94.74,26
2012-04,2012-04-01,morosidad,9.154615384615385,4.21,1.12,89.48,26
2012-05,2012-05-01,morosidad,9.233076923076924,3.63,0.46,94.53,26
2012-06,2012-06-01,morosidad,9.10576923076923,3.9299999999999997,0.48,87.26,26
2012-07,2012-07-01,morosidad,10.241923076923078,3.885,0.45,93.15,26
2012-08,2012-08-01,morosidad,11.489230769230769,4.015000000000001,1.2,94.94,26
2012-09,2012-09-01,morosidad,12.192692307692308,4.63,1.43,92.93,26
2012-10,2012-10-01,morosidad,8.923076923076923,4.45,1.02,53.47,26
2012-11,2012-11-01,morosidad,13.186153846153847,4.865,1.68,99.9,26
2012-12,2012-12-01,morosidad,12.08423076923077,4.29,1.33,85.2,26
2013-01,2013-01-01,morosidad,13.510384615384615,5.105,1.43,90.24,26
2013-02,2013-02-01,morosidad,14.877307692307692,5.67,1.45,98.7,26
2013-03,2013-03-01,morosidad,8.75923076923077,4.54,0.0,50.48,26
2013-04,2013-04-01,morosidad,12.018461538461539,4.1850000000000005,0.0,92.7,26
2013-05,2013-05-01,morosidad,12.599230769230768,4.045,0.0,95.82,26
2013-06,2013-06-01,morosidad,12.403076923076922,4.095,0.0,90.57,26
2013-07,2013-07-01,morosidad,12.641923076923076,4.039999999999999,0.0,97.67,26
2013-08,2013-08-01,morosidad,8.071153846153846,3.45,0.0,83.38,26
2013-09,2013-09-01,morosidad,10.063076923076922,3.73,0.0,97.97,26
2013-10,2013-10-01,morosidad,6.555384615384615,3.035,0.0,43.27,26
2013-11,2013-11-01,morosidad,10.201923076923077,3.51,0.0,93.57,26
2013-12,2013-12-01,morosidad,8.890384615384615,3.1100000000000003,0.0,78.84,26
2014-01,2014-01-01,morosidad,9.541153846153845,3.675,0.0,84.23,26
2014-02,2014-02-01,morosidad,10.095384615384615,3.745,0.0,90.94,26
2014-03,2014-03-01,morosidad,9.77037037037037,4.51,0.0,88.97,27
2014-04,2014-04-01,morosidad,7.9907407407407405,4.11,0.0,81.48,27
2014-05,2014-05-01,morosidad,8.528518518518519,4.26,0.0,88.91,27
2014-06,2014-06-01,morosidad,8.607037037037037,4.44,0.0,91.1,27
2014-07,2014-07-01,morosidad,9.008888888888889,4.37,0.0,94.75,27
2014-08,2014-08-01,morosidad,9.483076923076924,4.61,0.0,92.84,26
2014-09,2014-09-01,morosidad,9.917307692307693,4.805,0.0,96.15,26
2014-10,2014-10-01,morosidad,9.443846153846154,4.57,0.0,89.88,26
2014-11,2014-11-01,morosidad,8.859615384615385,4.055,0.0,97.58,26
2014-12,2014-12-01,morosidad,10.840769230769231,3.93,0.0,95.48,26
2015-01,2015-01-01,morosidad,13.802608695652173,5.04,0.18,96.31,23
2015-02,2015-02-01,morosidad,9.828695652173913,5.65,0.17,87.5,23
2015-03,2015-03-01,morosidad,8.650434782608695,5.41,0.04,60.43,23
2015-04,2015-04-01,morosidad,7.455652173913043,5.34,0.04,49.72,23
2015-05,2015-05-01,morosidad,8.406086956521738,5.53,0.04,54.41,23
2015-06,2015-06-01,morosidad,8.821304347826088,5.13,0.04,60.06,23
2015-07,2015-07-01,morosidad,10.778695652173912,5.5,0.0,98.31,23
2015-08,2015-08-01,morosidad,7.41,5.645,0.04,44.09,22
2015-09,2015-09-01,morosidad,6.211363636363637,5.449999999999999,0.04,25.42,22
2015-10,2015-10-01,morosidad,6.624545454545455,6.005,0.05,29.69,22
2015-11,2015-11-01,morosidad,7.536363636363637,6.720000000000001,1.36,35.32,22
2015-12,2015-12-01,morosidad,6.752272727272728,5.79,0.05,39.42,22
2016-01,2016-01-01,morosidad,8.138636363636364,6.365,0.04,48.27,22
2016-02,2016-02-01,morosidad,8.777727272727274,6.925,0.04,57.86,22
2016-03,2016-03-01,morosidad,9.501363636363637,7.1,0.04,67.73,22
2016-04,2016-04-01,morosidad,8.637727272727274,6.975,0.04,45.9,22
