archivo_origen,periodo,activos_totales,pasivos_totales,patrimonio,roe,morosidad,solvencia_proxy
00_datos_crudos\BOL BANCOS PRIVADOS 28022015 act.xlsx,2015-02,23,23,23,23,23,23
00_datos_crudos\BOL BANCOS PRIVADOS 30042015 act.xlsx,2015-04,23,23,23,23,23,23
00_datos_crudos\BOL BANCOS PRIVADOS 30062015 act.xlsx,2015-06,23,23,23,23,23,23
00_datos_crudos\BOL BANCOS PRIVADOS 30072015 act.xlsx,2015-07,23,23,23,23,23,23
00_datos_crudos\BOL BANCOS PRIVADOS 30092014.xlsx,2014-09,27,27,27,27,27,27
00_datos_crudos\BOL BANCOS PRIVADOS 30112014.xlsx,2014-11,27,27,27,27,27,27
00_datos_crudos\BOL BANCOS PRIVADOS 31012015 act.xlsx,2015-01,23,23,23,23,23,23
00_datos_crudos\BOL BANCOS PRIVADOS 31032015 act.xlsx,2015-03,23,23,23,23,23,23
00_datos_crudos\BOL BANCOS PRIVADOS 31052015 act.xlsx,2015-05,23,23,23,23,23,23
00_datos_crudos\BOL BANCOS PRIVADOS 31082014.xlsm,2014-08,27,27,27,27,27,27
00_datos_crudos\BOL BANCOS PRIVADOS 31102014.xlsx,2014-10,27,27,27,27,27,27
00_datos_crudos\BOL BANCOS PRIVADOS 31122014.xlsx,2014-12,27,27,27,27,27,27
00_datos_crudos\BOL BCOS PRIVADOS 201508.xlsx,2015-08,22,22,22,22,22,22
00_datos_crudos\BOL BCOS PRIVADOS 201509.xlsx,2015-09,22,22,22,22,22,22
00_datos_crudos\BOL BCOS PRIVADOS 201510.xlsx,2015-10,22,22,22,22,22,22
00_datos_crudos\BOL BCOS PRIVADOS 201511.xlsx,2015-11,22,22,22,22,22,22
00_datos_crudos\BOL BCOS PRIVADOS 201512.xlsx,2015-12,22,22,22,22,22,22
00_datos_crudos\BOL-FIN-BCOS-DIC-20-2.xlsx,2020-12,24,24,24,24,24,24
00_datos_crudos\BOL-FIN-BCOS-OCT-20.xlsm,2020-10,24,24,24,24,24,24
00_datos_crudos\BOL200903BCOS.xls,2009-03,25,25,25,25,25,25
00_datos_crudos\BOL200907BCOS.xls,2009-07,25,25,25,25,25,25
00_datos_crudos\BOL201102B PLANTILLA web .xls,2011-02,25,25,25,25,25,25
00_datos_crudos\BOL201103B WEB.xls,2011-03,25,25,25,25,25,25
00_datos_crudos\BOL201104B PLANTILLA web.xls,2011-04,25,25,25,25,25,25
00_datos_crudos\BOL201105B PLANTILLA web.xls,2011-05,25,25,25,25,25,25
00_datos_crudos\BOL201107B PLANTILLA web 2.xls,2011-07,25,25,25,25,25,25
00_datos_crudos\BOL201110B PLANTILLA FINAL WEB 2.xls,2011-10,26,26,26,26,26,26
00_datos_crudos\BOL201201B PLANTILLA web 2.xls,2012-01,26,26,26,26,26,26
00_datos_crudos\BOL201206 PLANTILLA web .xls,2012-06,26,26,26,26,26,26
00_datos_crudos\BOL201207 PLANTILLA web 3 .xls,2012-07,26,26,26,26,26,26
00_datos_crudos\BOLETIN BANCOS NOVIEMBRE 2022.xlsx,2022-11,24,24,24,24,24,24
00_datos_crudos\BOL_BANCOS PRIVADOS_ABRIL_2012.xls,2012-04,26,26,26,26,26,26
00_datos_crudos\BOL_BANCOS PRIVADOS_DIC_2011_Actualizada.xls,2011-12,26,26,26,26,26,26
00_datos_crudos\BOL_BANCOS PRIVADOS_NOV_2011_Actualizada.xls,2011-11,26,26,26,26,26,26
00_datos_crudos\BOL_BP_ABRIL 2018.xlsx,2018-04,24,24,24,24,24,24
00_datos_crudos\BOL_BP_ABRIL 2019.xlsx,2019-04,24,24,24,24,24,24
00_datos_crudos\BOL_BP_ABRIL 2020.xlsx,2020-04,24,24,24,24,24,24
00_datos_crudos\BOL_BP_ABR_ 2017.xlsx,2017-04,23,23,23,23,23,23
00_datos_crudos\BOL_BP_AGOSTO 2018.xlsx,2018-08,24,24,24,24,24,24
00_datos_crudos\BOL_BP_AGOSTO 2019.xlsx,2019-08,24,24,24,24,24,24
00_datos_crudos\BOL_BP_AGOSTO_ 2017.xlsx,2017-08,24,24,24,24,24,24
00_datos_crudos\BOL_BP_DICIEMBRE 2018.xlsx,2018-12,24,24,24,24,24,24
00_datos_crudos\BOL_BP_DICIEMBRE 2019.xlsx,2019-12,24,24,24,24,24,24
00_datos_crudos\BOL_BP_DICIEMBRE_2017.xlsx,2017-12,24,24,24,24,24,24
00_datos_crudos\BOL_BP_DIC_ 2016.xlsx,2016-12,23,23,23,23,23,23
00_datos_crudos\BOL_BP_ENERO 2020.xlsx,2020-01,24,24,24,24,24,24
00_datos_crudos\BOL_BP_ENERO.xlsx,2019-01,24,24,24,24,24,24
00_datos_crudos\BOL_BP_ENERO_2018.xlsx,2018-01,24,24,24,24,24,24
00_datos_crudos\BOL_BP_ENE_ 2017.xlsx,2017-01,23,23,23,23,23,23
00_datos_crudos\BOL_BP_FEBRERO 2018.xlsx,2018-02,24,24,24,24,24,24
00_datos_crudos\BOL_BP_FEBRERO 2019.xlsx,2019-02,24,24,24,24,24,24
00_datos_crudos\BOL_BP_FEBRERO 2020.xlsx,2020-02,24,24,24,24,24,24
00_datos_crudos\BOL_BP_FEB_ 2017.xlsx,2017-02,23,23,23,23,23,23
00_datos_crudos\BOL_BP_JULIO 2018.xlsx,2018-07,24,24,24,24,24,24
00_datos_crudos\BOL_BP_JULIO 2019.xlsx,2019-07,24,24,24,24,24,24
00_datos_crudos\BOL_BP_JULIO 2020.xlsx,2020-07,24,24,24,24,24,24
00_datos_crudos\BOL_BP_JUN 2016.xlsm,2016-06,22,22,22,22,22,22
00_datos_crudos\BOL_BP_JUNIO 2018.xlsx,2018-06,24,24,24,24,24,24
00_datos_crudos\BOL_BP_JUNIO 2019.xlsx,2019-06,24,24,24,24,24,24
00_datos_crudos\BOL_BP_JUNIO 2020.xlsx,2020-06,24,24,24,24,24,24
00_datos_crudos\BOL_BP_MARZO 2018.xlsx,2018-03,24,24,24,24,24,24
00_datos_crudos\BOL_BP_MARZO 2020.xlsx,2020-03,24,24,24,24,24,24
00_datos_crudos\BOL_BP_MAR_ 2017.xlsx,2017-03,23,23,23,23,23,23
00_datos_crudos\BOL_BP_MAYO 2018.xlsx,2018-05,24,24,24,24,24,24
00_datos_crudos\BOL_BP_MAYO 2019.xlsx,2019-05,24,24,24,24,24,24
00_datos_crudos\BOL_BP_MAYO 2020.xlsx,2020-05,24,24,24,24,24,24
00_datos_crudos\BOL_BP_MAY_ 2017.xlsx,2017-05,23,23,23,23,23,23
00_datos_crudos\BOL_BP_NOV 2016.xlsx,2016-11,23,23,23,23,23,23
00_datos_crudos\BOL_BP_NOVIEMBRE 2018.xlsx,2018-11,24,24,24,24,24,24
00_datos_crudos\BOL_BP_NOVIEMBRE 2019.xlsx,2019-11,24,24,24,24,24,24
00_datos_crudos\BOL_BP_NOVIEMBRE_2017.xlsx,2017-11,24,24,24,24,24,24
00_datos_crudos\BOL_BP_OCT 2016.xlsx,2016-10,23,23,23,23,23,23
00_datos_crudos\BOL_BP_OCTUBRE 2018.xlsx,2018-10,24,24,24,24,24,24
00_datos_crudos\BOL_BP_OCTUBRE 2019.xlsx,2019-10,24,24,24,24,24,24
00_datos_crudos\BOL_BP_OCTUBRE_2017.xlsx,2017-10,24,24,24,24,24,24
00_datos_crudos\BOL_BP_SEP 2016.xlsm,2016-09,22,22,22,22,22,22
00_datos_crudos\BOL_BP_SEPTIEMBRE 2018.xlsx,2018-09,24,24,24,24,24,24
00_datos_crudos\BOL_BP_SEPTIEMBRE 2019.xlsx,2019-09,24,24,24,24,24,24
00_datos_crudos\BOL_BP_SEPTIEMBRE_2017.xlsx,2017-09,24,24,24,24,24,24
00_datos_crudos\BOL_BP_SEP_2020 - web.xlsx,2020-09,24,24,24,24,24,24
00_datos_crudos\BOL_FIN_BCOS_ABR_09.xls,2009-04,25,25,25,25,25,25
00_datos_crudos\BOL_FIN_BCOS_ABR_10 A.xls,2010-04,25,25,25,25,25,25
00_datos_crudos\BOL_FIN_BCOS_ABR_16.xlsm,2016-04,22,22,22,22,22,22
00_datos_crudos\BOL_FIN_BCOS_AGO_09 A.xls,2009-08,25,25,25,25,25,25
00_datos_crudos\BOL_FIN_BCOS_AGO_10.xls,2010-08,25,25,25,25,25,25
00_datos_crudos\BOL_FIN_BCOS_AGO_11.xls,2011-08,25,25,25,25,25,25
00_datos_crudos\BOL_FIN_BCOS_AGO_12.xlsx,2012-08,26,26,26,26,26,26
00_datos_crudos\BOL_FIN_BCOS_AGO_2016.xlsx,2016-08,22,22,22,22,22,22
00_datos_crudos\BOL_FIN_BCOS_DIC_09 AAA.xls,2009-12,25,25,25,25,25,25
00_datos_crudos\BOL_FIN_BCOS_DIC_10 A.xls,2010-12,25,25,25,25,25,25
00_datos_crudos\BOL_FIN_BCOS_ENE_10 AA.xls,2010-01,25,25,25,25,25,25
00_datos_crudos\BOL_FIN_BCOS_ENE_11.xls,2011-01,25,25,25,25,25,25
00_datos_crudos\BOL_FIN_BCOS_FEB_10 AA.xls,2010-02,25,25,25,25,25,25
00_datos_crudos\BOL_FIN_BCOS_FEB_12.xls,2012-02,26,26,26,26,26,26
00_datos_crudos\BOL_FIN_BCOS_JUL_10.xls,2010-07,25,25,25,25,25,25
00_datos_crudos\BOL_FIN_BCOS_JUL_16.xlsm,2016-07,22,22,22,22,22,22
00_datos_crudos\BOL_FIN_BCOS_JUN_09 A.xls,2009-06,25,25,25,25,25,25
00_datos_crudos\BOL_FIN_BCOS_JUN_10.xls,2010-06,25,25,25,25,25,25
00_datos_crudos\BOL_FIN_BCOS_JUN_11.xls,2011-06,25,25,25,25,25,25
00_datos_crudos\BOL_FIN_BCOS_JUN_17.xlsx,2017-06,24,24,24,24,24,24
00_datos_crudos\BOL_FIN_BCOS_MAR_10 A.xls,2010-03,25,25,25,25,25,25
00_datos_crudos\BOL_FIN_BCOS_MAR_12.xls,2012-03,26,26,26,26,26,26
00_datos_crudos\BOL_FIN_BCOS_MAY_09.xls,2009-05,25,25,25,25,25,25
00_datos_crudos\BOL_FIN_BCOS_MAY_10.xls,2010-05,25,25,25,25,25,25
00_datos_crudos\BOL_FIN_BCOS_MAY_12.xls,2012-05,26,26,26,26,26,26
00_datos_crudos\BOL_FIN_BCOS_MAY_16.xlsm,2016-05,22,22,22,22,22,22
00_datos_crudos\BOL_FIN_BCOS_NOV_09 AA.xls,2009-11,25,25,25,25,25,25
00_datos_crudos\BOL_FIN_BCOS_NOV_10.xls,2010-11,25,25,25,25,25,25
00_datos_crudos\BOL_FIN_BCOS_NOV_12.xlsx,2012-11,26,26,26,26,26,26
00_datos_crudos\BOL_FIN_BCOS_OCT_10.xls,2010-10,25,25,25,25,25,25
00_datos_crudos\BOL_FIN_BCOS_SEPT_10.xls,2010-09,25,25,25,25,25,25
00_datos_crudos\BOL_FIN_BCOS_SEPT_11.xls,2011-09,26,26,26,26,26,26
00_datos_crudos\BOL_FIN_BCOS_SEPT_12.xlsx,2012-09,26,26,26,26,26,26
00_datos_crudos\BOL_FIN_BCOS_SEP_09 A.xls,2009-09,25,25,25,25,25,25
00_datos_crudos\BOL_FIN_OCT_09.xls,2009-10,25,25,25,25,25,25
00_datos_crudos\BOL_MENSUAL_ BPRIVADA_ABR_2021_web2.xlsm,2021-04,24,24,24,24,24,24
00_datos_crudos\BOL_MENSUAL_ BPRIVADA_AGO_2020_ web.xlsx,2020-08,24,24,24,24,24,24
00_datos_crudos\BOL_MENSUAL_ BPRIVADA_ENE_2021 _web2.xlsm,2021-01,24,24,24,24,24,24
00_datos_crudos\BOL_MENSUAL_ BPRIVADA_FEB_2021_web2.xlsx,2021-02,24,24,24,24,24,24
00_datos_crudos\BOL_MENSUAL_ BPRIVADA_MAR_2021_web2.xlsm,2021-03,24,24,24,24,24,24
00_datos_crudos\BOL_MENSUAL_ BPRIVADA_NOV_2020 _web.xlsm,2020-11,24,24,24,24,24,24
00_datos_crudos\BOL_MENSUAL_BPRIVADA_AGO_2021_web2.xlsx,2021-08,24,24,24,24,24,24
00_datos_crudos\BOL_MENSUAL_BPRIVADA_JUL_2021_web2.xlsx,2021-07,24,24,24,24,24,24
00_datos_crudos\BOL_MENSUAL_BPRIVADA_JUN_2021_web2.xlsx,2021-06,24,24,24,24,24,24
00_datos_crudos\BOL_MENSUAL_BPRIVADA_MAY_2021_web2.xlsx,2021-05,24,24,24,24,24,24
00_datos_crudos\BOL_MENSUAL_BPRIVADA_OCT_2021_web3.xlsx,2021-10,24,24,24,24,24,24
00_datos_crudos\BOL_MENSUAL_BPRIVADA_SEP_2021_web3.xlsx,2021-09,24,24,24,24,24,24
00_datos_crudos\BP_BOL_2008_01 con informacin reprocesada 06 ene 10.xls,2009-01,25,25,25,25,25,25
00_datos_crudos\BP_BOL_2009_02 rectificado.xls,2009-02,24,24,24,24,24,24
00_datos_crudos\Boletn mensual BP Julio 2017.xlsx,2017-07,24,24,24,24,24,24
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_02.xlsx,2022-02,24,24,24,24,24,0
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_04.xlsx,2022-04,24,24,24,24,24,24
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_05_rev.xlsx,2022-05,24,24,24,24,24,24
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_06.xlsx,2022-06,24,24,24,24,24,24
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_07.xlsx,2022-07,24,24,24,24,24,24
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_08.xlsx,2022-08,24,24,24,24,24,24
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_09.xlsx,2022-09,24,24,24,24,24,24
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_10.xlsx,2022-10,24,24,24,24,24,24
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2022_12.xlsx,2022-12,24,24,24,24,24,24
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_01.xlsx,2023-01,24,24,24,24,24,24
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_02.xlsx,2023-02,24,24,24,24,24,24
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_03.xlsx,2023-03,24,24,24,24,24,24
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_04.xlsx,2023-04,24,24,24,24,24,24
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_05.xlsx,2023-05,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_06.xlsx,2023-06,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_07.xlsx,2023-07,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_08.xlsx,2023-08,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_09.xlsx,2023-09,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_10.xlsx,2023-10,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_11.xlsx,2023-11,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_12.xlsx,2023-12,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_01.xlsx,2024-01,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_02.xlsx,2024-02,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_03.xlsx,2024-03,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_04.xlsx,2024-04,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_05.xlsx,2024-05,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_06.xlsx,2024-06,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_07.xlsx,2024-07,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_08.xlsx,2024-08,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_09.xlsx,2024-09,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_10.xlsx,2024-10,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_11.xlsx,2024-11,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_12.xlsx,2024-12,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_01.xlsx,2025-01,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_02.xlsx,2025-02,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_03.xlsx,2025-03,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_04.xlsx,2025-04,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_05.xlsx,2025-05,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_06.xlsx,2025-06,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_07.xlsx,2025-07,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_08.xlsx,2025-08,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_09.xlsx,2025-09,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_10.xlsx,2025-10,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_11.xlsx,2025-11,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_12.xlsx,2025-12,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2026_01.xlsx,2026-01,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2026_02.xlsx,2026-02,23,23,23,23,23,23
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,2026-03,23,23,23,23,23,23
00_datos_crudos\MENSUAL_BANCA_PRIVADA 2021_11.xlsx,2021-11,24,24,24,24,24,0
00_datos_crudos\Mensual_BancaPrivada_dic21.xlsx,2021-12,24,24,24,24,24,24
00_datos_crudos\Mensual_BancaPrivada_mar22.xlsx,2022-03,24,24,24,24,24,24
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201210 web 2.xlsx,2012-10,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201212 web 5.xlsx,2012-12,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201301 web 2.xlsx,2013-01,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201302 FINAL COMPLETO WEB.xlsx,2013-02,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201303 web 2.xlsx,2013-03,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201304 M1 WEB.xlsx,2013-04,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201305 M1 WEB.xlsx,2013-05,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201306 M1 WEB.xlsx,2013-06,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201307 M1 WEB.xlsx,2013-07,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201308 M1 WEB.xlsx,2013-08,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201309 M1 WEB.xlsx,2013-09,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201310 M1 WEB.xlsx,2013-10,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201311 web 3.xlsm,2013-11,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201312 M1 WEB.xlsx,2013-12,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201401 2 web 3.xlsm,2014-01,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201402 web 3.xlsm,2014-02,26,26,26,26,26,26
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201403 web 2.xlsm,2014-03,27,27,27,27,27,27
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201404 web.xlsm,2014-04,27,27,27,27,27,27
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201405 web.xlsm,2014-05,27,27,27,27,27,27
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201406 WEB.xlsm,2014-06,27,27,27,27,27,27
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201407 web.xlsm,2014-07,27,27,27,27,27,27
00_datos_crudos\NUEVA PLANTILLA BOL_BP_ENE 2016 web.xlsm,2016-01,22,22,22,22,22,22
00_datos_crudos\NUEVA PLANTILLA BOL_BP_FEB 2016 web.xlsm,2016-02,22,22,22,22,22,22
00_datos_crudos\NUEVA PLANTILLA BOL_BP_MAR 2016 web.xlsm,2016-03,22,22,22,22,22,22
