banco_estandarizado,indicador,estado,motivo,observaciones,mae_ajuste,rmse_ajuste
AMAZONAS,activos_totales,entrenado,,205,7.0616808894032355,9.63785622812465
ATLANTIDA,activos_totales,omitido,menos de 24 observaciones,10,,
AUSTRO,activos_totales,entrenado,,205,67.50623867616851,92.81124085679444
BOLIVARIANO,activos_totales,entrenado,,205,59.786667879409364,82.87690060586506
CAPITAL,activos_totales,entrenado,,205,29.310576848954703,34.70227463320929
CITIBANK,activos_totales,entrenado,,205,36.55472401619468,46.280842162475714
COFIEC,activos_totales,entrenado,,79,7.1804683918989145,9.08076401182591
COMERCIAL DE MANABI,activos_totales,entrenado,,205,4.428823653636836,6.576856321041811
COOPNACIONAL,activos_totales,entrenado,,173,3.035398200627937,4.0050934601233115
D-MIRO,activos_totales,entrenado,,164,6.997392417951676,8.682545548910573
DELBANK,activos_totales,entrenado,,205,1.3218802276021804,1.7907948280113368
DESARROLLO DE LOS PUEBLOS S.A,activos_totales,entrenado,,143,4.417670026455629,5.714135043365284
DINERS,activos_totales,entrenado,,104,19.143021334131028,24.27149564882013
FINCA,activos_totales,entrenado,,170,4.126655576636737,4.864482923784234
GENERAL RUMIÑAHUI,activos_totales,entrenado,,205,17.812158378162742,22.569350187160143
GUAYAQUIL,activos_totales,entrenado,,205,110.16713864451863,147.38852141060315
INTERNACIONAL,activos_totales,entrenado,,205,54.857385819782266,70.6623712863945
LITORAL,activos_totales,entrenado,,205,2.2918747067133918,3.4162676547488524
LLOYDS BANK,activos_totales,entrenado,,31,26.195179982045037,29.880442699393964
LOJA,activos_totales,entrenado,,205,9.523772298476,12.6367862513819
MACHALA,activos_totales,entrenado,,205,15.59197279268441,20.152617610970914
MM JARAMILLO ARTEAGA,activos_totales,omitido,menos de 24 observaciones,3,,
PACIFICO,activos_totales,entrenado,,205,191.18716360796338,274.60201723109634
PICHINCHA,activos_totales,entrenado,,205,172.74766556585854,220.25795065473028
PROCREDIT,activos_totales,entrenado,,205,13.207936194562002,16.377565780956996
PRODUBANCO,activos_totales,entrenado,,205,84.77604634183389,113.29875985441852
PROMERICA,activos_totales,entrenado,,67,64.28870324365607,116.41681265802796
SOLIDARIO,activos_totales,entrenado,,205,60.38137726003658,74.17393284357914
SUDAMERICANO,activos_totales,entrenado,,67,0.23441718797552644,0.36492983411922275
TERRITORIAL,activos_totales,entrenado,,50,7.5247788117325785,10.50296612276072
UNIBANCO,activos_totales,entrenado,,51,4.477671323524777,5.510315239315297
VISIONFUND ECUADOR,activos_totales,entrenado,,112,1.4043439358789485,1.8400991193542693
AMAZONAS,morosidad,entrenado,,205,1.5534546650046854,4.962471221973778
ATLANTIDA,morosidad,omitido,menos de 24 observaciones,10,,
AUSTRO,morosidad,entrenado,,205,0.6980694637598192,0.8907993858821498
BOLIVARIANO,morosidad,entrenado,,205,36.34161853895868,39.93539648533815
CAPITAL,morosidad,entrenado,,205,10.945942244474121,16.077433221335813
CITIBANK,morosidad,entrenado,,205,6.184629562843437,11.044598602529982
COFIEC,morosidad,entrenado,,79,11.470537218066879,15.182675076156373
COMERCIAL DE MANABI,morosidad,entrenado,,205,1.5472138904322048,1.9806577129209155
COOPNACIONAL,morosidad,entrenado,,173,8.993106627660405,11.79369001111288
D-MIRO,morosidad,entrenado,,164,2.4956476104839873,3.185636757968733
DELBANK,morosidad,entrenado,,205,2.4879006522060663,6.527790404269979
DESARROLLO DE LOS PUEBLOS S.A,morosidad,entrenado,,143,0.7839566190209594,0.9670709382412108
DINERS,morosidad,entrenado,,104,0.5316481949860664,0.6348173786549784
FINCA,morosidad,entrenado,,170,1.9506493654736201,2.4662524249661857
GENERAL RUMIÑAHUI,morosidad,entrenado,,205,0.47447379137083046,0.5950963385075079
GUAYAQUIL,morosidad,entrenado,,205,0.4762532294244563,0.5632550911835339
INTERNACIONAL,morosidad,entrenado,,205,17.955722325325503,25.706704583381452
LITORAL,morosidad,entrenado,,205,1.5521856132189795,1.9958148437288679
LLOYDS BANK,morosidad,entrenado,,31,9.682597324051207,11.071835492516032
LOJA,morosidad,entrenado,,205,0.9582428905008847,1.2365142376163933
MACHALA,morosidad,entrenado,,205,0.6296565187971163,0.7719215541691002
MM JARAMILLO ARTEAGA,morosidad,omitido,menos de 24 observaciones,3,,
PACIFICO,morosidad,entrenado,,205,0.7623309804509609,0.9258383206448945
PICHINCHA,morosidad,entrenado,,205,0.40761499184542166,0.5756695822845203
PROCREDIT,morosidad,entrenado,,205,0.8456799404950253,0.9992866604895112
PRODUBANCO,morosidad,entrenado,,205,6.918900680873201,14.702465324146381
PROMERICA,morosidad,entrenado,,68,0.43703326405855036,0.5595648672921503
SOLIDARIO,morosidad,entrenado,,205,2.2318286179037616,5.381209806870818
SUDAMERICANO,morosidad,entrenado,,67,2.5367669189703848,3.6249707214330567
TERRITORIAL,morosidad,entrenado,,72,7.695731026337597,8.615559683315475
UNIBANCO,morosidad,entrenado,,72,1.9863750023409044,2.440562807666121
VISIONFUND ECUADOR,morosidad,entrenado,,112,0.7008201086573367,0.8640532796928102
AMAZONAS,roe,entrenado,,205,12.617346659245635,17.87593236028118
ATLANTIDA,roe,omitido,menos de 24 observaciones,10,,
AUSTRO,roe,entrenado,,205,1.9419478764848381,2.530636485387696
BOLIVARIANO,roe,entrenado,,205,1.7516690110591984,2.1460820284307265
CAPITAL,roe,entrenado,,205,15.023610654386493,23.467554795954186
CITIBANK,roe,entrenado,,205,5.849231858160038,7.242840359034365
COFIEC,roe,entrenado,,79,15.847073913458027,20.963719066770096
COMERCIAL DE MANABI,roe,entrenado,,205,25.677130430609218,30.178981871579726
COOPNACIONAL,roe,entrenado,,173,1.5213961648647387,2.0352176134255964
D-MIRO,roe,entrenado,,164,11.300407073815233,17.361114380024937
DELBANK,roe,entrenado,,205,24.98532161544553,31.85330243872807
DESARROLLO DE LOS PUEBLOS S.A,roe,entrenado,,143,7.9520568457484195,13.976040755024762
DINERS,roe,entrenado,,104,2.537052297607367,3.0683787787427024
FINCA,roe,entrenado,,170,17.92351141918224,24.249879913537367
GENERAL RUMIÑAHUI,roe,entrenado,,205,2.639849415577734,3.1771772872328508
GUAYAQUIL,roe,entrenado,,205,2.7355389243100894,3.8122012955725744
INTERNACIONAL,roe,entrenado,,205,1.8648759590009671,2.2672724046010964
LITORAL,roe,entrenado,,205,10.191698681443814,17.36704464777957
LLOYDS BANK,roe,entrenado,,31,6.0956287394250985,7.415654071224148
LOJA,roe,entrenado,,205,2.9375718592479423,3.616721053817089
MACHALA,roe,entrenado,,205,2.894316406139564,6.193834581688203
MM JARAMILLO ARTEAGA,roe,omitido,menos de 24 observaciones,3,,
PACIFICO,roe,entrenado,,205,4.668947127813566,9.108305408757353
PICHINCHA,roe,entrenado,,205,2.644807556925821,3.3890167705659535
PROCREDIT,roe,entrenado,,205,17.568010158945167,26.194076788931966
PRODUBANCO,roe,entrenado,,205,3.0508661626274356,3.615309911089837
PROMERICA,roe,entrenado,,67,3.073338992481258,4.080263638365809
SOLIDARIO,roe,entrenado,,205,13.01696302840453,19.988674102971427
SUDAMERICANO,roe,entrenado,,67,10.33048215335232,15.216003879085712
TERRITORIAL,roe,entrenado,,59,18.720879755421702,22.30350274203246
UNIBANCO,roe,entrenado,,59,3.842894496311339,4.473019211263215
VISIONFUND ECUADOR,roe,entrenado,,112,3.822385968335177,4.409786930073802
AMAZONAS,solvencia_proxy,entrenado,,203,0.5176507273902641,0.6673947420645011
ATLANTIDA,solvencia_proxy,omitido,menos de 24 observaciones,10,,
AUSTRO,solvencia_proxy,entrenado,,203,0.3654945609162021,0.43563865254769213
BOLIVARIANO,solvencia_proxy,entrenado,,203,0.2793483433485164,0.33413747665463506
CAPITAL,solvencia_proxy,entrenado,,203,4.333555889818803,5.487282465490165
CITIBANK,solvencia_proxy,entrenado,,203,0.7831027942306487,0.9665013719736552
COFIEC,solvencia_proxy,entrenado,,78,2.437486986301492,3.203757388396702
COMERCIAL DE MANABI,solvencia_proxy,entrenado,,203,0.8923693667561603,1.0989800041830822
COOPNACIONAL,solvencia_proxy,entrenado,,171,0.3031658129663501,0.3747789226650344
D-MIRO,solvencia_proxy,entrenado,,162,0.8771690139078134,1.1482732416274302
DELBANK,solvencia_proxy,entrenado,,203,2.248552514059887,2.91883879281158
DESARROLLO DE LOS PUEBLOS S.A,solvencia_proxy,entrenado,,141,0.6745069705638991,0.8946159746336574
DINERS,solvencia_proxy,entrenado,,102,0.2784431671963153,0.3504258233900081
FINCA,solvencia_proxy,entrenado,,168,2.8734195570926127,3.4659956715896265
GENERAL RUMIÑAHUI,solvencia_proxy,entrenado,,203,0.33299899113139025,0.4435001145036398
GUAYAQUIL,solvencia_proxy,entrenado,,203,0.3329895142417809,0.40682192599574435
INTERNACIONAL,solvencia_proxy,entrenado,,203,0.353545614874532,0.44192626300437887
LITORAL,solvencia_proxy,entrenado,,203,1.0221714385007914,1.4290723919803405
LLOYDS BANK,solvencia_proxy,entrenado,,31,10.671755898061793,12.091695469087595
LOJA,solvencia_proxy,entrenado,,203,0.3912947189649955,0.49892802413227955
MACHALA,solvencia_proxy,entrenado,,203,0.22079696834680185,0.29848158270042346
MM JARAMILLO ARTEAGA,solvencia_proxy,omitido,menos de 24 observaciones,3,,
PACIFICO,solvencia_proxy,entrenado,,203,0.648001406993532,0.7932953903406676
PICHINCHA,solvencia_proxy,entrenado,,203,0.3673864883766044,0.44117154087805205
PROCREDIT,solvencia_proxy,entrenado,,203,0.6638173062229863,0.8255910860142037
PRODUBANCO,solvencia_proxy,entrenado,,203,0.29944646480751563,0.38121618824437525
PROMERICA,solvencia_proxy,entrenado,,67,5.731985059902208,10.447030148615738
SOLIDARIO,solvencia_proxy,entrenado,,203,0.6438739165059443,0.8937792349324658
SUDAMERICANO,solvencia_proxy,entrenado,,67,1.455218996467411,1.887689970948102
TERRITORIAL,solvencia_proxy,entrenado,,50,0.917928878515529,1.0579254271362448
UNIBANCO,solvencia_proxy,entrenado,,51,0.2558891501190968,0.29927013820613046
VISIONFUND ECUADOR,solvencia_proxy,entrenado,,110,0.5602567019945027,0.7670017764112473
